City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Nizhniy Novgorod,RU,56.3287,44.002,44.11,87,100,4.47,overcast clouds
330,Parainen,FI,60.3067,22.301,41.11,74,1,13.2,clear sky
331,Hokitika,NZ,-42.7167,170.9667,49.33,83,100,6.91,overcast clouds
332,Salalah,OM,17.0151,54.0924,84.36,39,6,8.21,clear sky
333,Liverpool,GB,53.4106,-2.9779,54.14,83,75,14.97,broken clouds
334,Ribeira Grande,PT,38.5167,-28.7,63.0,63,40,20.71,scattered clouds
335,Luce,FR,48.4369,1.4636,58.89,97,100,4.0,overcast clouds
336,Fortuna,US,40.5982,-124.1573,52.66,100,0,9.22,clear sky
337,Hami,CN,42.8,93.45,70.0,12,23,6.78,few clouds
338,Bam,IR,29.106,58.357,84.63,10,99,15.5,overcast clouds
339,Huejuquilla El Alto,MX,22.6,-103.8667,61.75,77,87,7.02,overcast clouds
340,Baoqing,CN,46.3317,132.2111,46.72,39,8,8.55,clear sky
341,Loandjili,CG,-4.7561,11.8578,78.91,83,75,10.36,broken clouds
342,Sambava,MG,-14.2667,50.1667,76.26,64,39,15.14,light rain
343,Dudinka,RU,69.4058,86.1778,33.62,98,100,18.39,light snow
